original,variant,type,phash_distance,dhash_distance,ahash_distance
nature_002.jpg,nature_002_crop.jpg,cropped,16,17,2
nature_002.jpg,nature_002_resize.jpg,resized,0,0,0
nature_002.jpg,nature_002_watermark.jpg,watermarked,2,0,0
nature_003.jpg,nature_003_compressed.jpg,compressed,0,0,0
nature_003.jpg,nature_003_crop.jpg,cropped,18,13,14
nature_003.jpg,nature_003_resize.jpg,resized,0,0,0
nature_003.jpg,nature_003_watermark.jpg,watermarked,2,0,0
nature_004.jpg,nature_004_compressed.jpg,compressed,0,1,0
nature_004.jpg,nature_004_crop.jpg,cropped,20,15,16
nature_004.jpg,nature_004_resize.jpg,resized,0,1,0
nature_004.jpg,nature_004_watermark.jpg,watermarked,0,2,0
nature_005.jpg,nature_005_compressed.jpg,compressed,0,1,0
nature_005.jpg,nature_005_crop.jpg,cropped,16,12,8
nature_005.jpg,nature_005_resize.jpg,resized,0,0,0
nature_005.jpg,nature_005_watermark.jpg,watermarked,0,0,0
nature_006.jpg,nature_006_compressed.jpg,compressed,2,0,0
nature_006.jpg,nature_006_crop.jpg,cropped,14,14,8
nature_006.jpg,nature_006_resize.jpg,resized,0,0,0
nature_006.jpg,nature_006_watermark.jpg,watermarked,0,0,0
nature_007.jpg,nature_007_compressed.jpg,compressed,0,0,0
nature_007.jpg,nature_007_crop.jpg,cropped,18,8,15
nature_007.jpg,nature_007_resize.jpg,resized,0,1,0
nature_007.jpg,nature_007_watermark.jpg,watermarked,0,1,1
nature_008.jpg,nature_008_compressed.jpg,compressed,0,0,0
nature_008.jpg,nature_008_crop.jpg,cropped,22,13,11
nature_008.jpg,nature_008_resize.jpg,resized,0,0,0
nature_008.jpg,nature_008_watermark.jpg,watermarked,0,0,0
nature_009.jpg,nature_009_compressed.jpg,compressed,0,0,1
nature_009.jpg,nature_009_crop.jpg,cropped,20,16,14
nature_009.jpg,nature_009_resize.jpg,resized,0,1,0
nature_009.jpg,nature_009_watermark.jpg,watermarked,0,0,1
nature_010.jpg,nature_010_compressed.jpg,compressed,0,0,0
nature_010.jpg,nature_010_crop.jpg,cropped,18,16,7
